soc_code,occupation_title,employment_national,annual_median_wage,source
25-2032,"Career/Technical Education Teachers, Secondary School",104450.0,63910.0,BLS OEWS 2024
25-2050,Special Education Teachers,557240.0,64270.0,BLS OEWS 2024
25-2051,"Special Education Teachers, Preschool",28200.0,62190.0,BLS OEWS 2024
25-2052,"Special Education Teachers, Kindergarten and Elementary School",231570.0,63000.0,BLS OEWS 2024
25-2057,"Special Education Teachers, Middle School",95330.0,64880.0,BLS OEWS 2024
25-2058,"Special Education Teachers, Secondary School",162780.0,69590.0,BLS OEWS 2024
25-2059,"Special Education Teachers, All Other",39350.0,67430.0,BLS OEWS 2024
25-3000,Other Teachers and Instructors,1125750.0,44220.0,BLS OEWS 2024
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36260.0,59950.0,BLS OEWS 2024
25-3021,Self-Enrichment Teachers,308520.0,45590.0,BLS OEWS 2024
25-3031,"Substitute Teachers, Short-Term",481300.0,38470.0,BLS OEWS 2024
25-3041,Tutors,174660.0,40090.0,BLS OEWS 2024
25-3099,"Teachers and Instructors, All Other",125010.0,64690.0,BLS OEWS 2024
25-4000,"Librarians, Curators, and Archivists",238010.0,57100.0,BLS OEWS 2024
25-4010,"Archivists, Curators, and Museum Technicians",32400.0,57100.0,BLS OEWS 2024
25-4011,Archivists,7050.0,61570.0,BLS OEWS 2024
25-4012,Curators,12280.0,61770.0,BLS OEWS 2024
25-4013,Museum Technicians and Conservators,13070.0,47460.0,BLS OEWS 2024
25-4022,Librarians and Media Collections Specialists,131830.0,64320.0,BLS OEWS 2024
25-4031,Library Technicians,73770.0,39970.0,BLS OEWS 2024
25-9000,Other Educational Instruction and Library Occupations,1866060.0,36690.0,BLS OEWS 2024
25-9021,Farm and Home Management Educators,10260.0,58120.0,BLS OEWS 2024
25-9031,Instructional Coordinators,210850.0,74720.0,BLS OEWS 2024
25-9040,Teaching Assistants,1530310.0,35550.0,BLS OEWS 2024
25-9044,"Teaching Assistants, Postsecondary",155010.0,44930.0,BLS OEWS 2024
25-9045,"Teaching Assistants, Except Postsecondary",1375300.0,35240.0,BLS OEWS 2024
25-9099,"Educational Instruction and Library Workers, All Other",114640.0,48400.0,BLS OEWS 2024
27-1000,Art and Design Workers,681550.0,53180.0,BLS OEWS 2024
